movieID,country
1,USA
2,USA
3,USA
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,UK
11,USA
12,USA
13,USA
14,USA
15,USA
16,USA
17,USA
18,USA
19,USA
20,USA
21,USA
22,USA
23,USA
24,USA
25,France
26,USA
27,USA
28,UK
29,France
30,France
31,USA
32,USA
33,USA
34,Australia
35,UK
36,UK
37,USA
38,USA
39,USA
40,South Africa
41,UK
42,USA
43,USA
44,USA
45,USA
46,USA
47,Japan
48,USA
49,Canada
50,USA
52,USA
53,Italy
54,USA
55,USA
56,USA
57,USA
58,Italy
59,Canada
60,USA
61,USA
62,USA
63,USA
64,USA
65,USA
66,USA
67,USA
68,France
69,USA
70,USA
71,USA
72,USA
73,UK
74,USA
75,USA
76,Canada
77,Germany
78,USA
79,USA
80,Iran
81,USA
82,Netherlands
83,USA
84,USA
85,USA
86,USA
87,USA
88,New Zealand
89,USA
90,USA
92,USA
93,USA
94,USA
95,USA
96,UK
97,France
98,USA
99,UK
100,USA
101,USA
102,USA
103,USA
104,USA
105,USA
106,Germany
107,USA
110,USA
111,USA
112,Hong Kong
113,USA
114,Canada
115,France
116,UK
117,UK
118,USA
119,USA
120,USA
121,Canada
122,USA
123,Hong Kong
124,Italy
125,USA
126,Germany
128,USA
129,USA
130,USA
131,France
132,USA
134,USA
135,USA
136,USA
137,USA
139,USA
140,USA
141,USA
143,Croatia
144,USA
145,USA
146,USA
147,USA
148,UK
149,USA
150,USA
151,USA
152,Germany
153,USA
154,France
155,UK
156,USA
157,USA
158,USA
159,USA
160,USA
161,USA
162,USA
163,USA
164,USA
165,USA
166,USA
167,USA
168,USA
169,France
170,USA
171,USA
172,Canada
173,USA
174,USA
175,USA
176,USA
177,USA
178,Canada
179,USA
180,USA
181,USA
182,UK
183,Germany
184,USA
185,USA
186,USA
187,USA
188,USA
189,USA
190,USA
191,USA
193,France
194,Germany
195,USA
196,USA
197,USA
198,USA
199,France
200,USA
201,USA
202,UK
203,USA
204,USA
205,USA
206,USA
207,USA
208,USA
209,France
210,USA
211,UK
212,USA
213,Russia
214,Republic of Macedonia
215,USA
216,USA
217,USA
218,USA
219,USA
220,USA
222,Ireland
223,USA
224,USA
225,USA
226,USA
227,USA
228,USA
229,UK
230,USA
231,USA
232,Taiwan
233,Canada
234,USA
235,USA
236,UK
237,USA
238,USA
239,USA
240,USA
241,USA
242,Belgium
243,USA
244,USA
245,France
246,USA
247,New Zealand
248,USA
249,UK
250,USA
251,USA
252,USA
253,USA
254,France
255,USA
256,USA
257,USA
258,USA
259,USA
260,USA
261,USA
262,USA
263,UK
264,France
265,Mexico
266,USA
267,USA
268,USA
269,USA
270,USA
271,USA
272,UK
273,USA
274,USA
275,USA
276,USA
277,USA
278,USA
279,USA
280,France
281,USA
282,USA
283,USA
284,Japan
285,UK
286,USA
287,USA
288,USA
289,USA
290,New Zealand
291,USA
292,USA
293,France
294,USA
295,USA
296,USA
297,USA
298,Taiwan
299,UK
300,USA
301,Japan
302,France
303,USA
304,USA
305,USA
306,France
307,France
308,France
309,China
310,USA
312,Germany
313,USA
314,USA
315,Peru
316,France
317,UK
318,USA
319,UK
320,USA
321,Cuba
322,USA
324,Australia
325,Canada
326,China
327,USA
328,USA
329,USA
330,USA
331,UK
332,USA
333,USA
334,USA
335,USA
336,Italy
337,USA
338,USA
339,USA
340,USA
341,Canada
342,Australia
343,USA
344,USA
345,Australia
346,UK
347,France
348,USA
349,USA
350,USA
351,USA
352,USA
353,USA
354,USA
355,USA
356,USA
357,UK
358,USA
359,USA
360,USA
361,USA
362,USA
363,France
364,USA
365,Italy
366,USA
367,USA
368,USA
369,USA
370,USA
371,USA
372,USA
373,USA
374,USA
375,USA
376,USA
377,USA
378,USA
379,Canada
380,USA
381,USA
382,USA
383,USA
384,USA
385,Ireland
386,USA
387,USA
388,USA
389,France
390,USA
391,USA
392,UK
393,USA
394,USA
395,USA
396,USA
397,USA
398,USA
401,USA
402,USA
404,USA
405,Canada
406,USA
407,USA
408,USA
409,USA
410,USA
412,USA
413,USA
414,USA
415,USA
416,USA
417,Spain
418,UK
419,USA
420,USA
421,USA
423,USA
424,USA
425,USA
426,USA
427,USA
428,USA
429,USA
430,UK
431,USA
432,USA
433,USA
434,Italy
435,USA
436,USA
437,USA
438,USA
440,USA
441,USA
442,USA
443,USA
444,USA
445,USA
446,China
447,USA
448,China
449,USA
450,USA
451,USA
452,UK
453,USA
454,USA
455,France
456,USA
457,USA
458,USA
459,USA
460,USA
461,USA
462,South Africa
463,USA
464,USA
465,France
466,USA
467,USA
468,UK
